strategy_version,signal_date,code,name,rank,push_level,emotion_score,is_pushed,capture_type,snapshot_time,reasons,risks,price_date,signal_close,latest_price_date,observed_days,latest_return_pct,tail_next_open_pct,tail_next_close_pct,tail_next_max_gain_pct,tail_next_max_drawdown_pct,settled_tail_next_day,return_1d_pct,max_gain_1d_pct,max_drawdown_1d_pct,settled_1d,return_3d_pct,max_gain_3d_pct,max_drawdown_3d_pct,settled_3d,return_5d_pct,max_gain_5d_pct,max_drawdown_5d_pct,settled_5d,return_10d_pct,max_gain_10d_pct,max_drawdown_10d_pct,settled_10d
v1,2026-04-10,603778,国晟科技,11,不推送,28.0,False,post_close,2026-04-10 15:00:00,人气Top20；温和放量；近5日趋势升温；站上20日线且不过热,当日转弱；收盘承接偏弱,2026-04-10,31.24,2026-05-27,30,-39.4,0.83,5.95,9.44,0.8,True,5.95,9.44,0.8,True,-14.18,9.44,-14.18,True,-22.38,9.44,-22.86,True,-15.08,9.44,-22.86,True
v1,2026-04-10,601138,工业富联,12,不推送,50.0,False,post_close,2026-04-10 15:00:00,人气Top20；温和放量；近5日趋势升温；站上20日线且不过热,-,2026-04-10,56.52,2026-05-27,30,23.99,-0.92,-1.45,0.05,-1.98,True,-1.45,0.05,-1.98,True,2.3,6.1,-1.98,True,7.87,8.28,-1.98,True,15.02,22.26,-1.98,True
v1,2026-04-10,600010,包钢股份,13,不推送,28.0,False,post_close,2026-04-10 15:00:00,人气Top20；温和放量；近5日趋势升温；站上20日线且不过热,当日转弱；收盘承接偏弱,2026-04-10,2.83,2026-05-27,30,-15.9,4.24,5.3,8.48,2.12,True,5.3,8.48,2.12,True,-0.35,8.48,-1.06,True,1.06,8.48,-1.06,True,-3.18,8.48,-4.59,True
v1,2026-04-10,000988,华工科技,14,不推送,50.0,False,post_close,2026-04-10 15:00:00,人气Top20；温和放量；近5日趋势升温；站上20日线且不过热,-,2026-04-10,115.92,2026-05-27,30,37.92,-0.91,7.97,8.01,-0.91,True,7.97,8.01,-0.91,True,-3.12,8.01,-4.59,True,0.66,8.01,-6.96,True,-0.52,8.01,-6.96,True
v1,2026-04-10,002074,国轩高科,15,普通观察,68.0,True,post_close,2026-04-10 15:00:00,人气Top20；当日涨停附近；收在日内高位；近5日趋势升温；站上20日线且不过热；首次上榜即强势,放量过猛,2026-04-10,38.81,2026-05-27,30,-11.67,-0.03,1.78,1.78,-0.8,True,1.78,1.78,-0.8,True,-0.23,3.04,-0.8,True,3.66,4.23,-0.8,True,2.76,6.91,-0.8,True
v1,2026-04-10,600666,奥瑞德,16,不推送,16.0,False,post_close,2026-04-10 15:00:00,人气Top20；温和放量；站上20日线且不过热,当日转弱；收盘承接偏弱,2026-04-10,6.3,2026-05-27,30,-26.67,-4.6,1.9,3.17,-4.6,True,1.9,3.17,-4.6,True,-1.11,7.3,-4.6,True,12.54,16.19,-4.6,True,-4.92,20.16,-6.35,True
v1,2026-04-10,300390,天华新能,17,普通观察,72.0,True,post_close,2026-04-10 15:00:00,人气Top20；当日涨停附近；放量仍可控；近5日趋势升温；站上20日线且不过热；首次上榜即强势,-,2026-04-10,68.3,2026-05-27,30,36.03,1.55,17.42,19.62,1.43,True,17.42,19.62,1.43,True,12.64,19.62,1.43,True,28.54,33.24,1.43,True,33.24,35.84,1.43,True
v1,2026-04-10,002281,光迅科技,18,不推送,21.0,False,post_close,2026-04-10 15:00:00,人气Top20；温和放量；近5日强势延续；站上20日线且不过热,当日转弱；收盘承接偏弱；短线涨幅偏高,2026-04-10,107.82,2026-05-27,30,88.0,-0.49,5.48,7.48,-0.49,True,5.48,7.48,-0.49,True,-1.04,7.48,-2.06,True,8.36,8.36,-2.06,True,19.37,25.83,-2.06,True
v1,2026-04-10,002714,牧原股份,19,不推送,0.0,False,post_close,2026-04-10 15:00:00,人气Top20；温和放量,当日转弱；收盘承接偏弱；近5日趋势未确认；仍在20日线下方,2026-04-10,43.01,2026-05-27,30,-12.21,-0.02,2.7,3.46,-0.84,True,2.7,3.46,-0.84,True,7.07,7.84,-0.84,True,5.86,7.84,-0.84,True,-0.67,7.84,-1.28,True
v1,2026-04-10,002418,康盛股份,20,强推观察,94.0,True,post_close,2026-04-10 15:00:00,人气Top20；当日涨停附近；收在日内高位；温和放量；近5日趋势升温；站上20日线且不过热；首次上榜即强势,-,2026-04-10,5.69,2026-05-27,30,-16.52,3.51,10.02,10.02,3.34,True,10.02,10.02,3.34,True,-3.34,10.54,-3.51,True,8.79,10.54,-3.87,True,8.08,25.13,-3.87,True
v1,2026-04-10,600103,青山纸业,21,普通观察,74.0,True,post_close,2026-04-10 15:00:00,人气Top50；当日涨停附近；收在日内高位；温和放量；近5日趋势升温；站上20日线且不过热,一字或近似一字，参与点差,2026-04-10,3.91,2026-05-27,30,-2.56,9.72,2.05,9.72,1.28,True,2.05,9.72,1.28,True,1.79,9.72,-0.26,True,9.72,14.07,-0.26,True,23.79,46.04,-0.26,True
v1,2026-04-10,600030,中信证券,22,不推送,32.0,False,post_close,2026-04-10 15:00:00,人气Top50；当日强涨；近5日趋势升温；站上20日线且不过热,放量过猛,2026-04-10,25.9,2026-05-25,28,1.12,-1.08,0.73,1.47,-1.58,True,0.73,1.47,-1.58,True,0.42,1.89,-1.58,True,1.39,2.24,-1.58,True,1.27,4.29,-1.58,True
v1,2026-04-10,600487,亨通光电,23,不推送,8.0,False,post_close,2026-04-10 15:00:00,人气Top50；温和放量；站上20日线且不过热,当日转弱；收盘承接偏弱,2026-04-10,55.98,2026-05-27,30,22.7,-1.75,-4.45,-0.05,-5.14,True,-4.45,-0.05,-5.14,True,-6.88,-0.05,-7.59,True,-0.59,0.21,-9.09,True,24.22,27.37,-9.09,True
v1,2026-04-10,002364,中恒电气,24,不推送,45.0,False,post_close,2026-04-10 15:00:00,人气Top50；当日涨停附近；收在日内高位；近5日强势延续；站上20日线且不过热,量能不足；短线涨幅偏高；一字或近似一字，参与点差,2026-04-10,35.12,2026-05-26,29,52.9,9.99,9.99,9.99,9.99,True,9.99,9.99,9.99,True,23.58,25.74,9.99,True,16.49,25.74,9.99,True,18.71,29.41,9.99,True
v1,2026-04-10,603459,红板科技,25,不推送,52.0,False,post_close,2026-04-10 15:00:00,人气Top50；当日涨停附近；温和放量；站上20日线且不过热,-,2026-04-10,55.08,2026-05-27,30,88.83,-1.72,14.05,27.03,-1.72,True,14.05,27.03,-1.72,True,24.18,27.03,-1.72,True,22.17,31.84,-1.72,True,9.11,31.84,-1.72,True
v1,2026-04-10,300207,欣旺达,26,不推送,38.0,False,post_close,2026-04-10 15:00:00,人气Top50；当日涨停附近；近5日趋势升温；站上20日线且不过热,放量过猛,2026-04-10,28.63,2026-05-25,28,-16.24,0.31,1.08,2.97,-1.57,True,1.08,2.97,-1.57,True,1.64,5.13,-1.57,True,2.65,5.13,-1.57,True,-3.07,6.88,-9.54,True
v1,2026-04-10,000977,浪潮信息,27,不推送,44.0,False,post_close,2026-04-10 15:00:00,人气Top50；当日上涨；放量仍可控；近5日趋势升温；站上20日线且不过热,-,2026-04-10,67.5,2026-05-27,30,-4.41,-2.28,1.19,3.93,-2.56,True,1.19,3.93,-2.56,True,1.99,3.93,-2.56,True,1.02,3.93,-2.56,True,10.83,11.97,-2.56,True
v1,2026-04-10,300750,宁德时代,28,不推送,42.0,False,post_close,2026-04-10 15:00:00,人气Top50；当日上涨；收盘承接较强；放量仍可控；站上20日线且不过热,-,2026-04-10,409.09,2026-05-26,29,-1.61,0.49,2.72,4.24,0.0,True,2.72,4.24,0.0,True,3.67,5.73,-0.39,True,6.89,10.76,-0.39,True,8.75,10.76,-0.39,True
v1,2026-04-10,600707,彩虹股份,29,不推送,47.0,False,post_close,2026-04-10 15:00:00,人气Top50；当日涨停附近；收在日内高位；近5日强势延续；站上20日线且不过热,放量过猛；短线涨幅偏高,2026-04-10,7.02,2026-05-27,30,69.94,-1.0,-1.85,1.42,-3.28,True,-1.85,1.42,-3.28,True,2.42,6.7,-4.42,True,10.97,10.97,-4.42,True,14.96,30.63,-4.42,True
v1,2026-04-10,600743,华远控股,30,不推送,57.0,False,post_close,2026-04-10 15:00:00,人气Top50；当日涨停附近；收在日内高位；放量仍可控；近5日强势延续,短线涨幅偏高；偏离20日线较大,2026-04-10,2.65,2026-05-27,30,-12.45,10.19,10.19,10.19,6.04,True,10.19,10.19,6.04,True,9.06,33.21,6.04,True,1.51,33.21,-3.4,True,-10.19,33.21,-10.19,True
v1,2026-04-10,002309,中利集团,31,不推送,0.0,False,post_close,2026-04-10 15:00:00,人气Top50；站上20日线且不过热,当日转弱；收盘承接偏弱；近5日趋势未确认,2026-04-10,4.4,2026-05-27,30,-19.55,-0.23,1.14,4.09,-5.0,True,1.14,4.09,-5.0,True,-8.41,4.09,-8.64,True,-9.55,4.09,-10.0,True,-6.36,4.09,-10.0,True
v1,2026-04-10,002594,比亚迪,32,不推送,32.0,False,post_close,2026-04-10 15:00:00,人气Top50；收盘承接较强；温和放量,-,2026-04-10,101.67,2026-05-27,30,-6.34,-0.1,2.54,3.27,-0.85,True,2.54,3.27,-0.85,True,1.34,3.27,-0.85,True,2.08,4.23,-0.85,True,-2.17,4.23,-2.92,True
v1,2026-04-10,300502,新易盛,33,普通观察,60.0,True,post_close,2026-04-10 15:00:00,人气Top50；当日上涨；收盘承接较强；温和放量；近5日趋势升温；站上20日线且不过热,-,2026-04-10,522.5,2026-05-27,30,33.01,-0.86,-1.87,-0.1,-4.3,True,-1.87,-0.1,-4.3,True,-4.88,3.14,-6.22,True,12.73,12.91,-6.22,True,2.83,20.15,-6.22,True
v1,2026-04-10,002837,英维克,34,不推送,44.0,False,post_close,2026-04-10 15:00:00,人气Top50；当日上涨；放量仍可控；近5日趋势升温；站上20日线且不过热,-,2026-04-10,99.05,2026-05-27,30,-4.07,0.01,3.85,4.29,0.0,True,3.85,4.29,0.0,True,6.32,12.77,0.0,True,11.73,13.71,0.0,True,-3.88,22.91,-5.1,True
v1,2026-04-10,600110,诺德股份,35,不推送,20.0,False,post_close,2026-04-10 15:00:00,人气Top50；温和放量；近5日趋势升温；站上20日线且不过热,当日转弱；收盘承接偏弱,2026-04-10,9.88,2026-05-27,30,5.87,-3.34,3.14,4.76,-3.34,True,3.14,4.76,-3.34,True,3.74,10.12,-3.34,True,1.11,10.12,-3.34,True,-1.21,10.12,-12.65,True
v1,2026-04-10,601179,中国西电,36,不推送,22.0,False,post_close,2026-04-10 15:00:00,人气Top50；温和放量,-,2026-04-10,16.08,2026-05-27,30,3.11,-1.12,-1.62,-0.75,-3.61,True,-1.62,-0.75,-3.61,True,10.07,10.7,-3.61,True,6.9,10.7,-3.61,True,7.03,15.11,-3.61,True
v1,2026-04-10,603773,沃格光电,37,不推送,59.0,False,post_close,2026-04-10 15:00:00,人气Top50；当日涨停附近；收在日内高位；近5日强势延续；站上20日线且不过热,短线涨幅偏高,2026-04-10,43.14,2026-05-27,30,131.78,-2.97,1.99,5.24,-2.97,True,1.99,5.24,-2.97,True,14.79,14.79,-2.97,True,22.62,22.62,-2.97,True,35.14,52.99,-2.97,True
v1,2026-04-10,600111,北方稀土,38,不推送,20.0,False,post_close,2026-04-10 15:00:00,人气Top50；温和放量；近5日趋势升温；站上20日线且不过热,当日转弱；收盘承接偏弱,2026-04-10,51.75,2026-05-27,30,-6.2,2.51,1.14,3.09,0.27,True,1.14,3.09,0.27,True,-4.54,3.09,-4.81,True,-4.89,3.09,-5.51,True,-8.71,3.09,-10.3,True
v1,2026-04-10,002491,通鼎互联,39,不推送,20.0,False,post_close,2026-04-10 15:00:00,人气Top50；温和放量；近5日趋势升温；站上20日线且不过热,当日转弱；收盘承接偏弱,2026-04-10,14.59,2026-05-27,30,45.58,-2.81,1.58,6.58,-4.87,True,1.58,6.58,-4.87,True,-2.67,6.58,-4.87,True,3.7,9.46,-5.89,True,7.27,24.74,-5.89,True
v1,2026-04-10,002709,天赐材料,40,不推送,56.0,False,post_close,2026-04-10 15:00:00,人气Top50；当日强涨；收在日内高位；放量仍可控；站上20日线且不过热,-,2026-04-10,46.72,2026-05-27,30,14.43,-2.44,-0.66,0.51,-2.83,True,-0.66,0.51,-2.83,True,2.1,6.36,-2.83,True,3.79,7.79,-2.83,True,12.89,15.41,-2.83,True
v1,2026-04-10,000592,平潭发展,41,不推送,4.0,False,post_close,2026-04-10 15:00:00,人气Top50；温和放量；站上20日线且不过热,当日转弱；收盘承接偏弱；近5日趋势未确认,2026-04-10,11.43,2026-05-27,30,-23.45,6.3,2.27,9.36,1.75,True,2.27,9.36,1.75,True,-0.87,9.36,-3.94,True,-4.29,9.36,-4.37,True,-6.12,9.36,-7.0,True
v1,2026-04-10,603986,兆易创新,42,不推送,52.0,False,post_close,2026-04-10 15:00:00,人气Top50；当日上涨；收盘承接较强；温和放量；近5日趋势升温,-,2026-04-10,265.09,2026-05-27,30,93.96,-1.54,-1.11,1.79,-1.58,True,-1.11,1.79,-1.58,True,3.08,8.23,-1.58,True,8.72,11.25,-1.58,True,12.02,22.7,-1.58,True
v1,2026-04-10,000889,中嘉博创,43,不推送,47.0,False,post_close,2026-04-10 15:00:00,人气Top50；当日涨停附近；收在日内高位；近5日强势延续；站上20日线且不过热,放量过猛；短线涨幅偏高,2026-04-10,4.35,2026-05-27,30,-10.11,-1.61,-9.89,0.0,-9.89,True,-9.89,0.0,-9.89,True,8.97,8.97,-10.57,True,21.61,25.06,-10.57,True,10.11,25.29,-10.57,True
v1,2026-04-10,002297,博云新材,44,不推送,0.0,False,post_close,2026-04-10 15:00:00,人气Top50；放量仍可控,当日转弱；收盘承接偏弱,2026-04-10,10.98,2026-05-27,30,115.76,10.02,10.02,10.02,10.02,True,10.02,10.02,10.02,True,33.15,33.15,10.02,True,61.11,61.11,10.02,True,103.1,104.46,10.02,True
v1,2026-04-10,002463,沪电股份,45,不推送,42.0,False,post_close,2026-04-10 15:00:00,人气Top50；温和放量；近5日趋势升温；站上20日线且不过热,-,2026-04-10,88.32,2026-05-27,30,45.26,-2.63,-0.17,2.04,-2.73,True,-0.17,2.04,-2.73,True,4.48,11.67,-2.73,True,10.01,11.96,-2.73,True,15.35,23.14,-2.73,True
v1,2026-04-10,301696,三瑞智能,46,不推送,4.0,False,post_close,2026-04-10 15:00:00,人气Top50；站上20日线且不过热,收盘承接偏弱,2026-04-10,92.0,2026-05-27,30,45.8,13.48,28.8,31.52,10.87,True,28.8,31.52,10.87,True,23.9,34.78,10.87,True,14.43,34.78,10.87,True,1.13,34.78,0.78,True
v1,2026-04-10,002460,赣锋锂业,47,不推送,44.0,False,post_close,2026-04-10 15:00:00,人气Top50；当日上涨；温和放量；近5日趋势升温；站上20日线且不过热,上影线偏长,2026-04-10,83.98,2026-05-27,30,-12.72,-0.17,0.48,2.76,-1.16,True,0.48,2.76,-1.16,True,-2.16,5.36,-2.55,True,0.1,5.36,-2.55,True,1.2,5.36,-5.93,True
v1,2026-04-10,002361,神剑股份,48,不推送,8.0,False,post_close,2026-04-10 15:00:00,人气Top50；温和放量；站上20日线且不过热,收盘承接偏弱；近5日趋势未确认；上影线偏长,2026-04-10,16.49,2026-05-27,30,-4.0,-0.06,1.27,5.4,-1.88,True,1.27,5.4,-1.88,True,12.43,12.43,-1.88,True,13.71,23.65,-1.88,True,30.14,45.24,-1.88,True
v1,2026-04-10,002131,利欧股份,49,不推送,20.0,False,post_close,2026-04-10 15:00:00,人气Top50；温和放量；近5日趋势升温；站上20日线且不过热,当日转弱；收盘承接偏弱,2026-04-10,7.99,2026-05-27,30,-25.78,-1.0,0.75,2.5,-1.38,True,0.75,2.5,-1.38,True,-2.13,3.88,-2.63,True,-0.38,3.88,-2.63,True,-7.76,5.76,-11.14,True
v1,2026-04-10,600703,三安光电,50,不推送,0.0,False,post_close,2026-04-10 15:00:00,人气Top50；温和放量,收盘承接偏弱；仍在20日线下方；上影线偏长,2026-04-10,11.94,2026-05-27,30,39.11,-0.34,4.27,5.44,-0.75,True,4.27,5.44,-0.75,True,1.68,5.44,-0.75,True,11.73,11.73,-0.75,True,26.55,34.51,-0.75,True
v1,2026-04-10,600522,中天科技,51,不推送,0.0,False,post_close,2026-04-10 15:00:00,温和放量；站上20日线且不过热,当日转弱；收盘承接偏弱,2026-04-10,29.8,2026-05-27,30,31.04,-1.31,-4.3,-0.57,-4.93,True,-4.3,-0.57,-4.93,True,-6.71,-0.57,-7.11,True,-5.57,-0.57,-7.99,True,11.44,17.58,-7.99,True
v1,2026-04-10,300274,阳光电源,52,不推送,14.0,False,post_close,2026-04-10 15:00:00,当日上涨；温和放量,仍在20日线下方,2026-04-10,130.79,2026-05-27,30,40.75,-1.87,2.11,3.69,-1.88,True,2.11,3.69,-1.88,True,1.84,8.14,-1.88,True,0.97,8.14,-1.88,True,1.77,8.14,-1.88,True
v1,2026-04-10,000559,万向钱潮,53,不推送,16.0,False,post_close,2026-04-10 15:00:00,当日上涨；近5日趋势升温；站上20日线且不过热,放量过猛,2026-04-10,16.32,2026-05-27,30,-3.43,-3.8,-2.27,-2.08,-4.04,True,-2.27,-2.08,-4.04,True,-1.47,1.1,-4.04,True,-1.41,1.59,-4.04,True,7.23,13.85,-4.04,True
v1,2026-04-10,300476,胜宏科技,54,不推送,42.0,False,post_close,2026-04-10 15:00:00,当日上涨；温和放量；近5日趋势升温；站上20日线且不过热,-,2026-04-10,287.78,2026-05-27,30,31.8,-1.66,2.91,4.25,-1.66,True,2.91,4.25,-1.66,True,2.66,8.69,-1.66,True,13.43,16.41,-1.66,True,9.66,21.55,-1.66,True
v1,2026-04-10,002432,九安医疗,55,不推送,18.0,False,post_close,2026-04-10 15:00:00,当日上涨；近5日趋势升温,偏离20日线较大,2026-04-10,92.75,2026-05-27,30,-8.85,-1.89,-7.35,-1.46,-7.78,True,-7.35,-1.46,-7.78,True,-18.51,-1.46,-18.92,True,-18.76,-1.46,-22.64,True,-12.09,2.36,-22.64,True
v1,2026-04-10,002202,金风科技,56,不推送,0.0,False,post_close,2026-04-10 15:00:00,温和放量,收盘承接偏弱；仍在20日线下方；上影线偏长,2026-04-10,24.07,2026-05-27,30,-1.95,-1.16,0.29,0.96,-1.54,True,0.29,0.96,-1.54,True,3.95,7.81,-1.54,True,5.48,7.81,-1.54,True,5.86,11.97,-1.54,True
v1,2026-04-10,601899,紫金矿业,57,不推送,0.0,False,post_close,2026-04-10 15:00:00,温和放量；站上20日线且不过热,当日转弱；收盘承接偏弱,2026-04-10,33.75,2026-05-27,30,-6.31,-1.1,-0.27,0.15,-1.3,True,-0.27,0.15,-1.3,True,3.44,6.67,-1.3,True,2.9,6.67,-1.3,True,1.66,6.67,-1.3,True
v1,2026-04-10,600410,华胜天成,58,不推送,12.0,False,post_close,2026-04-10 15:00:00,温和放量；近5日趋势升温；站上20日线且不过热,当日转弱；收盘承接偏弱,2026-04-10,27.06,2026-05-27,30,-28.2,-1.59,-1.11,0.85,-1.7,True,-1.11,0.85,-1.7,True,-0.67,2.7,-1.7,True,6.95,10.75,-1.7,True,0.48,10.75,-3.88,True
v1,2026-04-10,000425,徐工机械,59,不推送,10.0,False,post_close,2026-04-10 15:00:00,温和放量；站上20日线且不过热,收盘承接偏弱,2026-04-10,10.61,2026-05-26,29,-9.43,-1.32,-2.17,-0.19,-2.73,True,-2.17,-0.19,-2.73,True,-0.75,1.04,-2.92,True,-6.22,1.04,-6.79,True,-8.01,1.04,-10.93,True
v1,2026-04-10,600654,中安科,60,不推送,6.0,False,post_close,2026-04-10 15:00:00,放量仍可控；近5日趋势升温；站上20日线且不过热,当日转弱；收盘承接偏弱,2026-04-10,4.08,2026-05-27,30,-18.14,-2.21,10.05,10.05,-2.94,True,10.05,10.05,-2.94,True,8.09,15.93,-2.94,True,9.56,16.67,-2.94,True,-8.09,16.67,-9.07,True
v1,2026-04-10,000720,新能泰山,61,不推送,0.0,False,post_close,2026-04-10 15:00:00,温和放量；站上20日线且不过热,当日转弱；收盘承接偏弱,2026-04-10,5.43,2026-05-27,30,-15.1,-4.05,-1.1,1.1,-7.92,True,-1.1,1.1,-7.92,True,-8.47,1.1,-9.58,True,-12.71,1.1,-13.08,True,-13.81,1.1,-14.18,True
v1,2026-04-10,605117,德业股份,62,普通观察,72.0,True,post_close,2026-04-10 15:00:00,当日涨停附近；收在日内高位；温和放量；近5日趋势升温；站上20日线且不过热,-,2026-04-10,139.6,2026-05-27,30,-12.32,-29.49,-25.74,-22.35,-30.72,True,-25.74,-22.35,-30.72,True,-31.18,-22.35,-31.58,True,-27.25,-22.35,-31.76,True,-25.8,-22.35,-31.76,True
v1,2026-04-10,300131,英唐智控,63,不推送,51.0,False,post_close,2026-04-10 15:00:00,当日涨停附近；收在日内高位；近5日强势延续；站上20日线且不过热,短线涨幅偏高,2026-04-10,15.42,2026-05-25,28,30.35,0.26,0.45,3.05,-1.88,True,0.45,3.05,-1.88,True,0.26,3.11,-2.53,True,1.88,3.57,-2.85,True,5.58,23.74,-2.85,True
v1,2026-04-10,600488,津药药业,64,不推送,0.0,False,post_close,2026-04-10 15:00:00,温和放量；站上20日线且不过热,当日转弱；收盘承接偏弱,2026-04-10,6.42,2026-05-27,30,-19.78,-4.21,-7.94,-2.8,-7.94,True,-7.94,-2.8,-7.94,True,6.54,6.54,-8.57,True,-5.61,6.54,-8.57,True,-4.67,11.84,-8.57,True
v1,2026-04-10,600482,中国动力,65,普通观察,65.0,True,post_close,2026-04-10 15:00:00,当日涨停附近；收在日内高位；温和放量；近5日强势延续；站上20日线且不过热,短线涨幅偏高,2026-04-10,40.44,2026-05-26,29,-11.18,-3.02,1.88,2.62,-4.8,True,1.88,2.62,-4.8,True,-8.7,2.62,-9.05,True,-5.51,2.62,-9.72,True,-0.1,7.2,-9.72,True
v1,2026-04-10,600345,长江通信,66,不推送,55.0,False,post_close,2026-04-10 15:00:00,当日涨停附近；收在日内高位；温和放量；近5日强势延续,短线涨幅偏高；偏离20日线较大,2026-04-10,54.36,2026-05-27,30,-9.79,1.18,1.18,5.0,-2.12,True,1.18,5.0,-2.12,True,-8.65,5.0,-9.27,True,-6.84,5.0,-10.96,True,-7.28,5.0,-10.96,True
v1,2026-04-10,002342,巨力索具,67,不推送,6.0,False,post_close,2026-04-10 15:00:00,放量仍可控；近5日趋势升温；站上20日线且不过热,当日转弱；收盘承接偏弱,2026-04-10,15.5,2026-05-27,30,-25.42,0.39,5.42,7.48,0.39,True,5.42,7.48,0.39,True,18.0,20.71,0.39,True,22.97,26.97,0.39,True,22.9,38.19,0.39,True
v1,2026-04-10,000670,盈方微,68,不推送,52.0,False,post_close,2026-04-10 15:00:00,当日涨停附近；收在日内高位；温和放量,-,2026-04-10,8.15,2026-05-26,29,22.09,-0.74,0.74,1.84,-2.09,True,0.74,1.84,-2.09,True,-1.84,3.44,-2.21,True,-0.98,3.44,-3.31,True,-7.98,3.44,-9.2,True
